valor,classe,dormitorios,banheiros,vagas_na_garagem,tipo_do_imovel,bairro,area_terreno,area_util,condominio,torres,portaria_hrs,elevador_social,suites,apartamento_por_andar,quantidade_de_andares,elevador_de_servico,salao_de_festa,iptu,lat,long,dist_centro
450000.0,Apartamento,3.0,3.0,2.0,Padrão,jardim elvira dias,,86.0,240.0,1.0,,1.0,1.0,4.0,13.0,1.0,0.0,,,,
450000.0,Apartamento,3.0,3.0,2.0,Padrão,jardim elvira dias,,82.0,240.0,1.0,,1.0,1.0,4.0,13.0,1.0,0.0,,,,
320000.0,Comercial,,1.0,,Ponto comercial,jardim cascatinha,,,15.0,,,,,,,,,,,,
430000.0,Apartamento,2.0,2.0,1.0,Padrão,jardim cascatinha,,86.0,370.0,1.0,,1.0,,2.0,10.0,1.0,0.0,,,,
170000.0,Apartamento,2.0,1.0,1.0,Padrão,residencial veredas,,46.0,250.0,2.0,,2.0,,8.0,10.0,2.0,0.0,,-21.7916163,-46.608053999999996,4.338271910498164
420000.0,Apartamento,2.0,2.0,,Padrão,centro,,100.0,460.0,1.0,24.0,2.0,,4.0,12.0,1.0,,,-21.7883799,-46.5661817,0.0
1000000.0,Casa,3.0,4.0,3.0,Padrão,sao domingos,360.0,444.0,,,,,3.0,,,,,,-21.8468962,-46.5737222,6.553111235064264
220000.0,Terreno,,,,Padrão,jardim santa rita,305.0,,,,,,,,,,,,,,
1400000.0,Terreno,,,,Padrão,dom bosco,2700.0,,,,,,,,,,,,-21.7939677,-46.534471,3.3325413804590576
160000.0,Casa,2.0,2.0,2.0,Padrão,jardim itamaraty iii,84.0,54.0,,,,,,,,,,,,,
2000000.0,Apartamento,3.0,4.0,3.0,Padrão,centro,,240.0,1200.0,,24.0,1.0,2.0,2.0,11.0,1.0,0.0,,-21.7883799,-46.5661817,0.0
1200000.0,Apartamento,4.0,4.0,3.0,Padrão,centro,,192.0,825.0,1.0,12.0,1.0,2.0,2.0,14.0,1.0,,,-21.7883799,-46.5661817,0.0
280000.0,Casa,2.0,3.0,2.0,Padrão,conjunto habitacional pedro afonso junqueira,280.0,150.0,,,,,,,,,,,,,
1500000.0,Apartamento,4.0,4.0,3.0,Padrão,centro,,240.0,1275.0,,24.0,1.0,2.0,2.0,11.0,1.0,0.0,,-21.7883799,-46.5661817,0.0
275000.0,Apartamento,2.0,2.0,2.0,Padrão,santa angela,,83.0,110.0,1.0,,,1.0,2.0,4.0,,,,,,
780000.0,Apartamento,3.0,3.0,2.0,Padrão,centro,,87.0,450.0,1.0,,2.0,1.0,4.0,15.0,1.0,0.0,,-21.7883799,-46.5661817,0.0
700000.0,Apartamento,3.0,2.0,1.0,Padrão,centro,,125.0,650.0,1.0,24.0,1.0,1.0,2.0,12.0,1.0,,,-21.7883799,-46.5661817,0.0
200000.0,Apartamento,2.0,1.0,1.0,Padrão,residencial greenville,,56.0,100.0,1.0,,,,2.0,3.0,,,,,,
650000.0,Apartamento,3.0,3.0,2.0,Padrão,parque vivaldi leite ribeiro,,142.0,346.0,,,,1.0,,,,,,,,
165000.0,Apartamento,2.0,1.0,1.0,Padrão,residencial veredas,,46.0,230.0,2.0,,2.0,,8.0,10.0,2.0,0.0,,-21.7916163,-46.608053999999996,4.338271910498164
165000.0,Apartamento,2.0,1.0,1.0,Padrão,residencial veredas,,46.0,230.0,2.0,,2.0,,8.0,10.0,2.0,0.0,,-21.7916163,-46.608053999999996,4.338271910498164
495000.0,Apartamento,3.0,2.0,4.0,Padrão,sao benedito,,90.0,,1.0,,1.0,1.0,4.0,13.0,1.0,,,-21.8558599,-46.5716661,7.524761037575668
150000.0,Apartamento,2.0,1.0,1.0,Padrão,centro,,50.0,900.0,1.0,24.0,1.0,,30.0,3.0,1.0,0.0,,-21.7883799,-46.5661817,0.0
548000.0,Comercial,,1.0,,Sala Comercial,vila cruz,,,,,,,,,,,,,-21.7834845,-46.5873891,2.256373604451906
480000.0,Casa,2.0,3.0,4.0,Padrão,jardim bandeirantes,250.0,113.0,,,,,1.0,,,,,,,,
210000.0,Apartamento,3.0,1.0,1.0,Padrão,jardim centenario,,74.0,100.0,,,,,2.0,2.0,,,,-21.805588500000002,-46.565064,1.9169854523102048
250000.0,Apartamento,2.0,1.0,1.0,Padrão,jardim country club,,46.0,200.0,1.0,,1.0,,6.0,11.0,1.0,,,-21.78945135,-46.58977530336176,2.438972413884435
200000.0,Apartamento,2.0,1.0,1.0,Padrão,vila togni,,46.0,200.0,1.0,,6.0,,12.0,18.0,,0.0,,-21.78029895,-46.59762295,3.3684997191903414
600000.0,Apartamento,3.0,2.0,2.0,Padrão,centro,,91.0,350.0,,1.0,1.0,1.0,,,1.0,0.0,208.0,-21.7883799,-46.5661817,0.0
600000.0,Apartamento,2.0,2.0,1.0,Padrão,centro,,75.0,400.0,,1.0,1.0,1.0,,,1.0,0.0,186.0,-21.7883799,-46.5661817,0.0
420000.0,Apartamento,2.0,2.0,1.0,Padrão,sao benedito,,89.0,,1.0,,1.0,2.0,4.0,13.0,1.0,,,-21.8558599,-46.5716661,7.524761037575668
520000.0,Apartamento,3.0,2.0,1.0,Padrão,sao benedito,,106.0,390.0,1.0,,1.0,1.0,2.0,7.0,,,,-21.8558599,-46.5716661,7.524761037575668
1300000.0,Apartamento,2.0,3.0,5.0,Cobertura,centro,,208.0,1269.0,,,1.0,1.0,,,1.0,,,-21.7883799,-46.5661817,0.0
980000.0,Apartamento,3.0,3.0,3.0,Padrão,centro,,115.0,600.0,1.0,,1.0,1.0,3.0,10.0,1.0,,,-21.7883799,-46.5661817,0.0
250000.0,Apartamento,2.0,2.0,1.0,Padrão,vila togni,,46.0,200.0,1.0,,6.0,1.0,12.0,18.0,,0.0,,-21.78029895,-46.59762295,3.3684997191903414
240000.0,Terreno,,,,Padrão,jardim country club,248.05,,,,,,,,,,,,-21.78945135,-46.58977530336176,2.438972413884435
480000.0,Apartamento,2.0,2.0,1.0,Padrão,jardim elvira dias,,90.0,250.0,1.0,,1.0,1.0,6.0,11.0,1.0,0.0,,,,
480000.0,Apartamento,2.0,2.0,1.0,Padrão,jardim elvira dias,,90.0,250.0,1.0,,1.0,1.0,6.0,11.0,1.0,0.0,,,,
480000.0,Apartamento,2.0,2.0,1.0,Padrão,jardim elvira dias,,90.0,250.0,1.0,,1.0,1.0,6.0,11.0,1.0,0.0,,,,
480000.0,Apartamento,2.0,2.0,1.0,Padrão,jardim elvira dias,,90.0,250.0,1.0,,1.0,1.0,6.0,11.0,1.0,0.0,,,,
770000.0,Apartamento,3.0,2.0,2.0,Cobertura,jardim elvira dias,,104.0,370.0,1.0,,1.0,1.0,6.0,11.0,1.0,0.0,,,,
900000.0,Casa,3.0,3.0,2.0,Casa em condomínio,santa angela,226.0,164.0,500.0,,24.0,,2.0,,,,0.0,,,,
211000.0,Terreno,,,,Padrão,jardim vitoria iv,421.0,,,,,,,,,,,,,,
180000.0,Terreno,,,,Padrão,jardim vitoria,276.0,,,,,,,,,,,,,,
540000.0,Apartamento,2.0,2.0,1.0,Padrão,centro,,75.0,,2.0,,2.0,1.0,4.0,8.0,,0.0,,-21.7883799,-46.5661817,0.0
260000.0,Apartamento,2.0,2.0,1.0,Lançamento,residencial veredas,,65.0,,,,1.0,1.0,,,,,,-21.7916163,-46.608053999999996,4.338271910498164
950000.0,Casa,3.0,3.0,2.0,Padrão,parque primavera,336.0,172.0,,,,,1.0,,,,,,-21.7907428,-46.55676029999999,1.0076223166131129
600000.0,Terreno,,,,Padrão,parque primavera,600.0,,,,,,,,,,,,-21.7907428,-46.55676029999999,1.0076223166131129
896900.0,Apartamento,3.0,4.0,2.0,Padrão,sao benedito,,154.0,300.0,1.0,,4.0,3.0,3.0,15.0,,,,-21.8558599,-46.5716661,7.524761037575668
735000.0,Apartamento,2.0,3.0,2.0,Padrão,centro,,87.0,450.0,1.0,,2.0,1.0,4.0,15.0,1.0,0.0,,-21.7883799,-46.5661817,0.0
815000.0,Apartamento,2.0,3.0,2.0,Padrão,centro,,87.0,450.0,1.0,,2.0,1.0,4.0,15.0,1.0,0.0,,-21.7883799,-46.5661817,0.0
228800.0,Casa,2.0,2.0,1.0,Casa em condomínio,residencial belvedere,,68.0,100.0,,,,1.0,,,,,,,,
639400.0,Apartamento,3.0,2.0,3.0,Cobertura,jardim country club,,133.0,300.0,1.0,,1.0,1.0,4.0,6.0,,,,-21.78945135,-46.58977530336176,2.438972413884435
788400.0,Apartamento,3.0,3.0,3.0,Cobertura,jardim country club,,180.0,300.0,1.0,,1.0,1.0,4.0,6.0,,,,-21.78945135,-46.58977530336176,2.438972413884435
420000.0,Casa,3.0,2.0,4.0,Padrão,nossa senhora aparecida,245.0,165.0,,,,,1.0,,,,,,-21.7858401,-46.5545552,1.2332336990232995
3000000.0,Casa,4.0,4.0,4.0,Padrão,bortolan,2000.0,534.0,,,,,3.0,,,,,,-21.800174050000006,-46.63251884294958,6.973539619752122
430000.0,Casa,2.0,2.0,2.0,Padrão,campo das antas,275.0,127.0,,,,,,,,,,,,,
1350000.0,Apartamento,3.0,2.0,1.0,Padrão,jardim cascatinha,,153.0,1100.0,,24.0,1.0,1.0,3.0,10.0,,,,,,
450000.0,Apartamento,2.0,2.0,2.0,Padrão,jardim country club,,79.0,170.0,1.0,,,1.0,4.0,6.0,,,,-21.78945135,-46.58977530336176,2.438972413884435
800000.0,Casa,3.0,3.0,4.0,Padrão,parque primavera,238.0,223.0,,,,,1.0,,,,,,-21.7907428,-46.55676029999999,1.0076223166131129
700000.0,Apartamento,3.0,3.0,1.0,Padrão,centro,,100.0,700.0,,,1.0,1.0,2.0,12.0,,,,-21.7883799,-46.5661817,0.0
265000.0,Apartamento,2.0,1.0,1.0,Padrão,vila togni,,46.0,230.0,1.0,,,,8.0,9.0,,,84.12,-21.78029895,-46.59762295,3.3684997191903414
140000.0,Apartamento,2.0,1.0,1.0,Padrão,dom bosco,,47.0,162.0,8.0,,,,4.0,4.0,,,35.0,-21.7939677,-46.534471,3.3325413804590576
629000.0,Apartamento,3.0,2.0,3.0,Padrão,centro,,98.0,230.0,1.0,,,1.0,2.0,3.0,,,,-21.7883799,-46.5661817,0.0
400000.0,Apartamento,2.0,2.0,2.0,Padrão,jardim country club,,92.0,250.0,1.0,,1.0,1.0,4.0,6.0,,,,-21.78945135,-46.58977530336176,2.438972413884435
850000.0,Apartamento,4.0,3.0,1.0,Cobertura,centro,,165.0,430.0,1.0,,1.0,1.0,4.0,7.0,,,,-21.7883799,-46.5661817,0.0
260000.0,Apartamento,2.0,2.0,1.0,Padrão,campo das antas,,70.0,70.0,,,,1.0,,,,,,,,
350000.0,Apartamento,3.0,2.0,1.0,Padrão,jardim quisisana,,70.0,300.0,3.0,24.0,1.0,1.0,4.0,7.0,,,,-21.7976825,-46.5658718,1.0348966711130358
