endereço_casa,preco_casa,metros_casa,quartos_casa,banheiros_casa,vagas_casa
 Jardim D'icarai,700000.0,100,2,1,2
 Residencial Lagos D Icaraí ,1562000.0,363,4,4,4
 CONDOMINIO ZULEIKA JABOUR,913000.0,395,3,4,3
 SP,550000.0,100,2,1,1
 Jardim das Nações,435000.0,80,2,1,2
 SP,950000.0,320,4,6,4
 Village Moutonnee,6000.0,125,3,2,2
 Jardim Santa Marta,1100000.0,85,2,2,2
 Loteamento Jardim das Constelacoes,210000.0,105,3,2,2
 SP,1650000.0,132,2,2,2
 Residencial São Bento,645000.0,380,4,6,2
 Buru,380000.0,178,3,2,2
 SP,730000.0,130,3,1,2
 Jardim Nair Maria,165000.0,183,3,2,4
 SP,180000.0,360,4,5,2
 CONDOMINIO ZULEIKA JABOUR,480000.0,219,3,2,2
 SP,645000.0,180,3,2,2
 Residencial Primavera,950000.0,300,4,3,4
 Jardim Saltense,320000.0,308,3,4,2
 Residencial São Gabriel,1350000.0,164,3,3,4
 Village Moutonnee,1150000.0,100,2,2,2
 Jardim Panorama,270000.0,199,3,3,2
 SP,1499999.0,124,3,3,4
 Loteamento Terras de Sao Pedro e Sao Paulo,300000.0,290,3,4,2
 Jardim Elizabeth,320000.0,110,3,2,2
 Jardim Panorama,650000.0,317,5,4,4
 Residencial Porto Seguro,415000.0,163,3,3,2
 Jardim Elizabeth,1590000.0,132,2,3,2
 Urb Salto de São José,750000.0,105,3,2,4
 Residencial Lagos D Icaraí ,1060000.0,35,1,1,2
 Village Moutonnee,760000.0,50,2,1,2
 Jardim D'icarai,475000.0,198,3,3,2
 Residencial Lagos D Icaraí ,700000.0,113,3,3,2
 CONDOMINIO ZULEIKA JABOUR,1562000.0,124,3,2,2
 SP,913000.0,206,3,3,2
 Jardim das Nações,550000.0,180,2,2,18
 SP,435000.0,100,2,1,2
 Village Moutonnee,950000.0,363,4,4,4
 Jardim Santa Marta,6000.0,395,3,4,3
 Loteamento Jardim das Constelacoes,1100000.0,100,2,1,1
 SP,210000.0,80,2,1,2
 Residencial São Bento,1650000.0,320,4,6,4
 Buru,645000.0,125,3,2,2
 SP,380000.0,85,2,2,2
 Jardim Nair Maria,730000.0,105,3,2,2
 SP,165000.0,132,2,2,2
 CONDOMINIO ZULEIKA JABOUR,180000.0,380,4,6,2
 SP,480000.0,178,3,2,2
 Residencial Primavera,645000.0,130,3,1,2
 Jardim Saltense,950000.0,183,3,2,4
 Residencial São Gabriel,320000.0,360,4,5,2
 Village Moutonnee,1350000.0,219,3,2,2
 Jardim Panorama,1150000.0,180,3,2,2
 SP,270000.0,300,4,3,4
 Loteamento Terras de Sao Pedro e Sao Paulo,1499999.0,308,3,4,2
 Jardim Elizabeth,300000.0,164,3,3,4
 Jardim Panorama,320000.0,100,2,2,2
 Residencial Porto Seguro,650000.0,199,3,3,2
 Jardim Elizabeth,415000.0,124,3,3,4
 Urb Salto de São José,1590000.0,290,3,4,2
 Residencial Lagos D Icaraí ,750000.0,110,3,2,2
 Village Moutonnee,1060000.0,317,5,4,4
 Jardim D'icarai,760000.0,163,3,3,2
 Residencial Lagos D Icaraí ,475000.0,132,2,3,2
 CONDOMINIO ZULEIKA JABOUR,700000.0,105,3,2,4
 SP,1562000.0,35,1,1,2
 Jardim das Nações,913000.0,50,2,1,2
 SP,550000.0,198,3,3,2
 Village Moutonnee,435000.0,113,3,3,2
 Jardim Santa Marta,950000.0,124,3,2,2
 Loteamento Jardim das Constelacoes,6000.0,206,3,3,2
 SP,1100000.0,180,2,2,18
 Residencial São Bento,210000.0,100,2,1,2
 Buru,1650000.0,363,4,4,4
 SP,645000.0,395,3,4,3
 Jardim Nair Maria,380000.0,100,2,1,1
 SP,730000.0,80,2,1,2
 CONDOMINIO ZULEIKA JABOUR,165000.0,320,4,6,4
 SP,180000.0,125,3,2,2
 Residencial Primavera,480000.0,85,2,2,2
 Jardim Saltense,645000.0,105,3,2,2
 Residencial São Gabriel,950000.0,132,2,2,2
 Village Moutonnee,320000.0,380,4,6,2
 Jardim Panorama,1350000.0,178,3,2,2
 SP,1150000.0,130,3,1,2
 Loteamento Terras de Sao Pedro e Sao Paulo,270000.0,183,3,2,4
 Jardim Elizabeth,1499999.0,360,4,5,2
 Jardim Panorama,300000.0,219,3,2,2
 Residencial Porto Seguro,320000.0,180,3,2,2
 Jardim Elizabeth,650000.0,300,4,3,4
 Urb Salto de São José,415000.0,308,3,4,2
 Residencial Lagos D Icaraí ,1590000.0,164,3,3,4
 Village Moutonnee,750000.0,100,2,2,2
 Jardim D'icarai,1060000.0,199,3,3,2
